# From https://iopscience.iop.org/article/10.3847/2041-8213/acc077/pdf Figure A1 (GFU)
# Energy / GeV, eff. Area / m2
95.71883030603018, 0.000639876708739707
106.24469518252214, 0.0008470394388255091
113.40944690709924, 0.001197208939802686
119.1714126698668, 0.0017693356290702509
131.50454742024067, 0.002568515163719829
144.73005510991382, 0.003982564990233343
319.99081106864674, 0.0388220882208671
371.55723210144686, 0.05288647653870847
433.6620867501427, 0.07422113679531077
506.14761128681573, 0.10108021003123158
590.7489085135369, 0.13879129960260908
694.3522290370214, 0.19483152305135643
830.0027814717885, 0.26625159096913065
992.1543972089316, 0.37176484415354727
1174.3764603114764, 0.5059363187619136
1403.8058607593898, 0.6775240997506549
1689.8880497136258, 0.9405710536091032
2034.2710487190323, 1.2476540369710594
2448.836004466518, 1.677745302467557
2947.88532754653, 2.225505124361211
3548.6361228412525, 2.925353184148232
4271.814176304669, 3.82782069183802
5142.368990559317, 4.896014750266291
6190.3345378991735, 6.219696673275286
7451.865426510248, 7.829658750027631
8970.48422744275, 9.744855179964448
10798.582994873488, 12.435931078439078
12999.230781816279, 15.548456794608148
15648.34951022191, 18.70236919239707
18837.333262564665, 22.8572229035948
22676.20135996659, 27.681998602281595
27297.39400744349, 33.525203383137324
32860.34145529873, 40.325592385416826
39556.96431184556, 47.30638139543412
47618.29476718051, 54.992801302119936
57322.447158946285, 63.92812356064786
69004.21286305459, 74.31527191228781
83066.61053123919, 86.39014148691376
99994.7901563982, 97.49975136361195
120372.77065327956, 111.2971144302424
144903.5883977987, 129.38085558056162
174188.62465064944, 148.1789716260496
209981.43901015192, 159.62968575220887
252773.64510572178, 178.11968075601845
303006.5194811531, 202.3170452577046
366297.16579156317, 221.772864918178
438679.07330890046, 247.0832427481699
530805.3915621394, 254.40706995496825
638978.4463780394, 281.30313143723356
772445.4058313763, 309.1210302975785
930733.8320380449, 335.1738555294519
1100953.054887634, 353.89320510002267
1358500.4988919983, 369.8552170007722
1615253.2625184304, 392.8924028583833
1944426.406735661, 415.10190608800156
2328653.4919834244, 438.5622739614134
2797963.906240684, 413.3522440501042
3415822.7841314315, 434.5679679526443
4038316.461592235, 463.6978143089875
4991815.232592807, 467.07546718796203
5916935.184029852, 457.76586630116174
7072883.840733227, 459.64042558758894
8707854.277374947, 447.8193010792
10194816.278005954, 442.2910562201254
12272422.190849563, 458.4460659276474
14235443.243060531, 368.5961487109593
16925901.875268582, 379.79618521920133
20062734.628740396, 376.4852975982314
22012307.47420772, 318.5636448447583
26091790.362234905, 338.48091234080414
31023065.16774965, 304.11893618675805
35985323.56151744, 250.59864844785065
42786448.2441704, 235.42740322944996
51578339.231182136, 220.2494247626637
61240389.59444453, 213.54189597450662
70525490.835426, 177.19134536666405
77938867.96727535, 125.10311450638602
91247787.86280583, 134.3506502084158
