Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,,-155.23350793587997,nan,nan,1737.3629599390545,nan,nan,-2.2855556072974537,nan,nan
Helper C,,-121.63862456876154,nan,nan,1737.5190863053676,nan,nan,-1.824871420431748,nan,nan
Power A,,-138.03400922620767,nan,nan,1708.005557160627,nan,nan,-2.463255858468301,nan,nan
LPDA 4,,-146.63895759640877,nan,nan,1729.4834212722983,nan,nan,-2.228217808626198,nan,nan
LPDA 5,,-145.59524954417563,nan,nan,1731.89939756236,nan,nan,-2.2781809487644673,nan,nan
LPDA 6,,-144.41277422042106,nan,nan,1734.0653663507128,nan,nan,-2.242407595716031,nan,nan
LPDA 8,,-130.81029718039122,nan,nan,1731.24622616769,nan,nan,-2.025351581877544,nan,nan
LPDA 1,,-135.48864243369042,nan,nan,1719.1142920562659,nan,nan,-2.1561771239798873,nan,nan
LPDA 2,,-138.06736104874366,nan,nan,1719.3536443354808,nan,nan,-2.072629884614647,nan,nan
LPDA 7,,-132.670629159977,nan,nan,1733.7033500774364,nan,nan,-2.30905532818889,nan,nan
LPDA 9,,-129.9154351817516,nan,nan,1728.667804905679,nan,nan,-2.5596360935310827,nan,nan
LPDA 3,,-140.5788730480989,nan,nan,1719.3831039916645,nan,nan,-2.365359144635704,nan,nan
