Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,,251.45787441218013,nan,nan,4163.074572513903,nan,nan,-3.4313100815476596,nan,nan
Power A,,269.08737268271943,nan,nan,4133.055983521074,nan,nan,-3.6948952982193837,nan,nan
Helper C,,286.1035513594655,nan,nan,4163.145034743746,nan,nan,-3.522477429107539,nan,nan
LPDA 6,,263.91597297727526,nan,nan,4158.89730368016,nan,nan,-3.306094467443927,nan,nan
LPDA 5,,262.7664710384497,nan,nan,4156.6530832233075,nan,nan,-3.4985885838555077,nan,nan
LPDA 4,,261.365794198809,nan,nan,4154.098035296124,nan,nan,-3.6318715700781468,nan,nan
LPDA 3,,265.95774470166634,nan,nan,4146.072629113002,nan,nan,-3.695854265461776,nan,nan
LPDA 2,,268.5883955808995,nan,nan,4145.944626467382,nan,nan,-3.6278811347713145,nan,nan
LPDA 1,,271.55000784536674,nan,nan,4145.886638455224,nan,nan,-3.6189685079461924,nan,nan
LPDA 9,,276.2982899510555,nan,nan,4154.139701623955,nan,nan,-3.59052576751742,nan,nan
LPDA 8,,274.75471886546484,nan,nan,4156.6125502772,nan,nan,-3.5740656231178036,nan,nan
LPDA 7,,273.25504743508645,nan,nan,4158.991852457616,nan,nan,-3.5435478573467662,nan,nan
Surface Pulser,,268.08746475427506,nan,nan,4169.416486353605,nan,nan,-3.541115308964436,nan,nan
Solar1,,272.93947997100565,nan,nan,4152.891674818429,nan,nan,-3.4000713262527142,nan,nan
Solar2,,270.07305512822427,nan,nan,4156.643688792492,nan,nan,-3.385886596813407,nan,nan
