Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,,-308.1768397289919,nan,nan,495.8958356648789,nan,nan,-3.001389475218261,nan,nan
Helper B,,-325.41466213817057,nan,nan,525.3318454752269,nan,nan,-2.7265922246211716,nan,nan
Helper C,,-342.3057293912095,nan,nan,494.65507581738615,nan,nan,-2.9910275589288275,nan,nan
LPDA 6,,-329.0904560638562,nan,nan,512.4334468814111,nan,nan,-2.641733898126944,nan,nan
LPDA 5,,-326.5035026966766,nan,nan,512.8104568967796,nan,nan,-2.6351316290633235,nan,nan
LPDA 4,,-323.58098814705755,nan,nan,513.3590220047026,nan,nan,-2.6255272218632513,nan,nan
LPDA 7,,-333.2065563941764,nan,nan,503.189010756725,nan,nan,-2.835713002145596,nan,nan
LPDA 8,,-332.06922586245753,nan,nan,500.87482241592267,nan,nan,-2.8809722840211975,nan,nan
LPDA 9,,-330.65652947066025,nan,nan,498.70367399772994,nan,nan,-2.855729523596665,nan,nan
LPDA 1,,-319.44342777773005,nan,nan,498.79698243610085,nan,nan,-2.87516737843697,nan,nan
LPDA 2,,-318.1851181251954,nan,nan,501.1791670312019,nan,nan,-2.8412908943235777,nan,nan
LPDA 3,,-316.69023706737164,nan,nan,503.62037293434923,nan,nan,-2.8694084811668574,nan,nan
Surface Pulser,,-359.92182899213145,nan,nan,524.9596825738977,nan,nan,-2.814408958613825,nan,nan
Solar1,,-322.5303217566444,nan,nan,506.76486272195257,nan,nan,-2.0869484391116515,nan,nan
Solar2,,-328.17993886196217,nan,nan,504.7770382529857,nan,nan,-2.176828442515813,nan,nan
