Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,2021_survey_results.csv,-376.69099706979375,nan,0.0067,992.3964607694514,nan,0.0067,-10.230906478879263,nan,0.0118
Helper C,2021_survey_results.csv,-393.13731571239856,nan,0.0072,962.4980849585153,nan,0.0072,-10.480786396694498,nan,0.0125
Power A,2021_survey_results.csv,-359.4893320153436,nan,0.0052,963.2988538077418,nan,0.0052,-10.204027705862075,nan,0.0088
Surface Pulser,2021_survey_results.csv,-410.9530057738939,nan,0.1244,992.7026778919808,nan,0.1244,-10.467660846891192,nan,0.1863
LPDA 1,2021_survey_results.csv,-370.7794081472022,nan,0.0048,966.5245958134657,nan,0.0048,-10.54194699182409,nan,0.0083
LPDA 2,2021_survey_results.csv,-369.38145925895253,nan,0.0051,968.8936277882684,nan,0.0051,-10.120957185480052,nan,0.0087
LPDA 3,2021_survey_results.csv,-368.018516391905,nan,0.0049,971.3526589208809,nan,0.0049,-10.25296713754716,nan,0.0083
LPDA 4,2021_survey_results.csv,-375.1147345288366,nan,0.005,980.8444967702268,nan,0.005,-10.427916944185995,nan,0.0084
LPDA 5,2021_survey_results.csv,-377.6947243952486,nan,0.0059,980.4684378315869,nan,0.0059,-10.212898418575548,nan,0.0091
LPDA 6,2021_survey_results.csv,-380.1017190094807,nan,0.005,980.2323828357975,nan,0.005,-10.213881144527136,nan,0.0086
LPDA 7,2021_survey_results.csv,-384.5605048350949,nan,0.005,970.7892809373535,nan,0.005,-10.435848490481646,nan,0.0087
LPDA 8,2021_survey_results.csv,-383.30745291828146,nan,0.0489,968.5573095765021,nan,0.0489,-10.307857314612647,nan,0.0727
LPDA 9,2021_survey_results.csv,-381.9504060565016,nan,0.0468,966.5073405849563,nan,0.0468,-10.30486689617834,nan,0.069
