Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,,-1147.4927545674973,nan,nan,3124.0456946337963,nan,nan,-4.50342952129995,nan,nan
Helper B,,-1165.004732679197,nan,nan,3153.787717562687,nan,nan,-4.068519954528824,nan,nan
Helper C,,-1130.538276181989,nan,nan,3154.171377289406,nan,nan,-4.440195539339887,nan,nan
LPDA 4,,-1155.1525974047809,nan,nan,3145.2944428487876,nan,nan,-4.323219491411919,nan,nan
LPDA 5,,-1153.887670063271,nan,nan,3147.590507528201,nan,nan,-4.240120665260292,nan,nan
LPDA 6,,-1152.2221481950235,nan,nan,3149.888876782877,nan,nan,-4.225951933043007,nan,nan
LPDA 7,,-1143.1056733071023,nan,nan,3149.829593528702,nan,nan,-4.27728819534434,nan,nan
LPDA 8,,-1141.9011852499796,nan,nan,3147.408867710817,nan,nan,-4.328881737780762,nan,nan
LPDA 9,,-1140.5176148836358,nan,nan,3145.1401026449503,nan,nan,-4.391519223260843,nan,nan
LPDA 1,,-1145.034808830631,nan,nan,3137.3810847203017,nan,nan,-4.431515653536962,nan,nan
LPDA 2,,-1147.5822137525465,nan,nan,3137.112572540446,nan,nan,-4.4298401704645585,nan,nan
LPDA 3,,-1150.3214192809965,nan,nan,3137.0951569030603,nan,nan,-4.440323312317901,nan,nan
Surface Pulser,,-1148.0667700954737,nan,nan,3159.968815514678,nan,nan,-4.242176542254128,nan,nan
