Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,,82.4071346964168,nan,nan,2949.9982332582017,nan,nan,-2.837141509331976,nan,nan
Helper B,,47.86521860507681,nan,nan,2949.875765651445,nan,nan,-2.878400201924857,nan,nan
Helper C,,65.28980261363056,nan,nan,2979.7539448841494,nan,nan,-2.6370683480179955,nan,nan
LPDA 7,,63.19556101300327,nan,nan,2967.318208919831,nan,nan,-2.6752668414393384,nan,nan
LPDA 8,,65.74279955902898,nan,nan,2967.1615504948104,nan,nan,-2.6402198280877656,nan,nan
LDPA 9,,68.69058311741242,nan,nan,2967.238671560349,nan,nan,-2.675286559248775,nan,nan
LPDA 1,,73.55665637754623,nan,nan,2959.0525015609896,nan,nan,-2.7905487750255134,nan,nan
LPDA 2,,72.23279773341255,nan,nan,2956.731779711069,nan,nan,-2.8524606423401337,nan,nan
LPDA 3,,70.7028931997313,nan,nan,2954.101254250721,nan,nan,-2.8462282680540056,nan,nan
LPDA 4,,61.35566069441643,nan,nan,2954.6169077273757,nan,nan,-2.7883699832798357,nan,nan
LPDA 5,,60.032197782415096,nan,nan,2956.94573587197,nan,nan,-2.751933473191457,nan,nan
LPDA 6,,58.61470298799213,nan,nan,2959.488683683736,nan,nan,-2.7655962820763307,nan,nan
Surface Pulser,,53.8913217968377,nan,nan,2969.494750058899,nan,nan,-2.4931916960758826,nan,nan
