Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,,-1369.534111636923,nan,nan,1941.2792650274569,nan,nan,-3.9358166540430752,nan,nan
Helper C,,-1334.821263332573,nan,nan,1941.9266906296668,nan,nan,-3.949680145199295,nan,nan
Power A,,-1352.364325059356,nan,nan,1911.1738485252934,nan,nan,-4.03610097553792,nan,nan
LPDA 4,,-1359.6176778212873,nan,nan,1932.5209717158316,nan,nan,-4.002050783262575,nan,nan
LPDA 5,,-1358.3673387150272,nan,nan,1935.0215825706282,nan,nan,-3.823541220462971,nan,nan
LPDA 6,,-1356.7243449383184,nan,nan,1937.6870035223392,nan,nan,-3.8279995723056572,nan,nan
LPDA 7,,-1347.841668943527,nan,nan,1937.0845186767685,nan,nan,-3.6669405064659486,nan,nan
LPDA 8,,-1346.5254708537616,nan,nan,1935.716969202774,nan,nan,-3.9012495471988586,nan,nan
LPDA 9,,-1345.325316801131,nan,nan,1932.7926063101077,nan,nan,-3.9191129620554648,nan,nan
LPDA 3,,-1355.5366997539531,nan,nan,1924.5390468732585,nan,nan,-3.976778921579239,nan,nan
LPDA 2,,-1352.456171375155,nan,nan,1924.2797411435224,nan,nan,-3.9270492841225177,nan,nan
LPDA 1,,-1349.4696116383138,nan,nan,1924.1542352446013,nan,nan,-3.959381196674485,nan,nan
Surface Pulser,,-1352.7396369509736,nan,nan,1940.9286056115154,nan,nan,-3.924138940282205,nan,nan
