Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,SFE_Surveyor_220714_171149.pos,32.36433333333331,0.013594627574377781,0.004381538461538447,3416.534207179488,0.018683386891881513,0.008597948717948726,-7.792273589743591,0.004705124366776677,0.02141
LPDA 1,SFE_Surveyor_220714_171149.pos,23.218825621301814,0.012848045758368782,0.004379585798816568,3425.4482065088746,0.009518269752932153,0.008426213017751477,-7.7809148520710005,0.00869168488576039,0.021498757396449467
LPDA 2,SFE_Surveyor_220714_171149.pos,22.065325470155337,0.019668381227912746,0.004388838920686851,3423.158970114471,0.012792307014757188,0.008135363859362116,-7.749157726901061,0.012078370686068927,0.021254170073589113
LPDA 3,SFE_Surveyor_220714_171149.pos,20.367844316546744,0.00965828129020473,0.004391582733812961,3420.4910553237405,0.012709135606515863,0.007762302158273278,-7.781110935251802,0.009525006071670039,0.020730143884892353
Helper B,SFE_Surveyor_220714_171149.pos,-2.354645838926173,0.02960007713312583,0.004384832214765114,3416.292675167786,0.018221549416420697,0.007473959731543702,-7.679701946308719,0.020558127133558646,0.020258993288590384
LPDA 4,SFE_Surveyor_220714_171149.pos,11.133099230769215,0.018385950259986572,0.004381360946745572,3421.048692899404,0.01125155695542789,0.007163905325443686,-7.770004437869824,0.014655178032732781,0.019700177514793107
LPDA 5,SFE_Surveyor_220714_171149.pos,9.841568181818205,0.025971559223519545,0.004621212121212126,3423.4403014141435,0.028741121247722046,0.007138181818181834,-7.789378686868669,0.006552309566877271,0.02294484848484843
LPDA 6,SFE_Surveyor_220714_171149.pos,8.329852424242441,0.015164827099987526,0.0046508080808080905,3425.933066767679,0.013906323773978352,0.006897171717171718,-7.774562929292928,0.00787896108703244,0.022383030303030516
Helper C,SFE_Surveyor_220714_171149.pos,15.096568791946302,0.02725259155920313,0.004695637583892636,3446.083485234893,0.05279517268344227,0.006589060402684636,-7.810030268456351,0.013199549336299637,0.02157926174496622
LPDA 7,SFE_Surveyor_220714_171149.pos,12.900605866666671,0.02019369074182803,0.00473413333333333,3433.574012133337,0.03395197502737873,0.006375333333333366,-7.8418482666666725,0.007690655709531237,0.02097119999999994
LPDA 8,SFE_Surveyor_220714_171149.pos,15.426036540540535,0.0315588024803416,0.004351891891891909,3433.582567243249,0.026312375026084474,0.00565156756756754,-7.843806918918922,0.0055018154932507226,0.015599783783783568
LPDA 9,SFE_Surveyor_220714_171149.pos,18.449838620689658,0.011418926325076401,0.004350229885057481,3433.645383563219,0.012095202282061518,0.0055835632183907835,-7.755515402298862,0.003932841511948756,0.015346896551724153
Surface Pulser,SFE_Surveyor_220714_175925.pos,3.6271280555555583,0.13386210444573354,0.01693020833333337,3436.6900142361123,0.08253849371785167,0.01998638888888884,-8.942306736111114,0.11513571550337949,0.05251777777777769
DAQ NW,SFE_Surveyor_220714_175925.pos,16.20465212765957,0.01514701845223028,0.00859882978723408,3428.1198848936165,0.040364970809660616,0.009671702127659549,-8.57979989361703,0.0525386664242369,0.023039680851063695
DAQ SE,SFE_Surveyor_220714_175925.pos,15.028874402125808,0.030245888446643547,0.004227015057573089,3426.894125155003,0.023416998160203897,0.00540797165633302,-7.730767493356934,0.010014646056840644,0.01468556244464112
Solar Panel A1,SFE_Surveyor_220714_175925.pos,11.955653720930242,0.020620420918010973,0.004226589147286838,3424.643188062013,0.024958433655093013,0.005421627906976721,-7.7828085271317775,0.005060532434382174,0.014700155038759698
Solar Panel A2,SFE_Surveyor_220714_175925.pos,13.0367957618567,0.029327067894914526,0.004106357214934418,3424.6272203834524,0.028005226933742165,0.005283652875882939,-7.776495761856717,0.010518879717196448,0.01354934409687165
Solar Panel B1,SFE_Surveyor_220714_175925.pos,19.990433288590605,0.02399226326055843,0.004075771812080533,3429.27394033557,0.037185565252544225,0.005285838926174488,-7.831616241610742,0.02213810348453291,0.013409261744966759
Solar Panel B2,SFE_Surveyor_220714_175925.pos,19.790799160493815,0.046394313300307986,0.004069185185185167,3428.170361728392,0.03258136473566918,0.005342962962962926,-7.8576228148148255,0.014841438389061289,0.013719407407407343
