Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,SFE_Surveyor_220627_155502.pos,-205.534306678213,0.00450003461892120,0.00250332199876210,2203.76839021238,0.00779230056100891,0.008500865100231290,-7.38830986534871,0.01840005461198,-0.00200987811032
LPDA 1,SFE_Surveyor_220627_161338.pos,-185.943200898765,0.019413332657540,0.009706445812134,2186.89609885631,0.022904457689009,0.019400767651,-8.265600954376,0.0574004541765234,0.01147677734565
LPDA 2,SFE_Surveyor_220627_161605.pos,-186.785500767437,0.01523812279127,0.00650883892068685,2186.7126115489,0.017423070147572,0.0115536385936212,-7.14080554378911,0.0396078370686069,0.00782541700735891
LPDA 3,SFE_Surveyor_220627_161821.pos,-190.579208786509,0.01699657780028,0.00790158273381296,2185.44774552906,0.0194709135606516,0.0148762302158273,-7.9016006534341,0.046952500607167,0.0104073043884892
Power A,SFE_Surveyor_220627_160103.pos,-188.32241005649,0.00432907331258,0.00168483221476511,2174.47017516779,0.0065215494164207,0.008473959731543,-7.38670194630872,0.0199055812713356,-0.00312589932885904
LPDA 4,SFE_Surveyor_220627_162113.pos,-196.852487000565,0.00383859502599866,0.00278136094674557,2196.00501098543,0.00512515569554279,0.00556390532544369,-7.2535432110,0.0147055178032733,0.0037001775147931
LPDA 5,SFE_Surveyor_220627_162345.pos,-195.289524376545,0.0198915592235195,0.00892121212121213,2198.43860265401,0.022541121247722,0.0208381818181818,-8.09570881,0.0627523095668773,0.0099017676231
LPDA 6,SFE_Surveyor_220627_162547.pos,-194.241443560087,0.0188648270999875,0.0085080808080809,2201.0477077231,0.02120056511,0.01850078781,-5.05120065651,0.057801001101,0.00970112000898
Helper C,SFE_Surveyor_220627_160452.pos,-171.797800346571,0.003705657823076,0.00229563758389264,2204.01530010008,0.0057951726834423,0.00508906040268464,-7.48100302845635,0.01551995493363,0.00251579261744966
LPDA 7,SFE_Surveyor_220627_162740.pos,-182.924923000451,0.00290193690741828,0.00203413333333333,2200.18190987328,0.0054339519273787,0.00587533333333337,-7.4095156589065,0.0163076557095312,0.0034711999999999
LPDA 8,SFE_Surveyor_220627_162941.pos,-181.155011086561,0.00315588024803416,0.00243518989189191,2197.76746724325,0.0060123750260845,0.00661515675675675,-7.19503069189189,0.0170501815493251,0.0040997837837836
LPDA 9,SFE_Surveyor_220627_163137.pos,-179.1683455562310,0.0206189263250764,0.0102350229885057,2195.55488356322,0.0240952022820615,0.0230556321839078,-10.3182154022989,0.0683328415119488,0.014968965517242
Surface Pulser,SFE_Surveyor_220627_161015.pos,-188.258265444860,0.0036862104445734,0.00261302083333334,2203.44060142361,0.00562384937178517,0.00470863888888888,-7.37663067361111,0.0155135715503379,0.0028517777651772
DAQ NW,SFE_Surveyor_220627_164132.pos,-186.285102345651,0.0160470184522303,0.00841882978723408,2195.22128489362,0.0210364970809661,-0.00990717021276596,-8.6276999893617,0.0515386664242369,-0.016396808510637
DAQ SE,SFE_Surveyor_220627_164432.pos,-188.240233267902,0.00412701505757309,0.0023359762101,2193.81503125155,0.00574169981602039,-0.00190797165633302,-7.75817674933569,0.0206014646056841,-0.00654855624446411
Solar Panel A1,SFE_Surveyor_220627_163409.pos,-192.016500451299,0.025320420918011,-0.00126226589147287,2192.91321806201,0.027658433655093,0.0256516279069767,-8.33298085271318,0.0785005324343822,-0.025170015503876
Solar Panel A2,SFE_Surveyor_220627_163554.pos,-191.64486445912,0.0194327678949145,0.0103163572149344,2194.28382203835,0.0247052269337422,0.00318365287588294,-4.7678576185672,0.0642188797171964,-0.019749344096817
Solar Panel B1,SFE_Surveyor_220627_163755.pos,-186.177306578981,0.017544632605584,0.010377181208053,2195.9348033557,0.0244185565252544,-0.00678583892617449,-4.77681624161074,0.0649131034845329,-0.0203092617449668
Solar Panel B2,SFE_Surveyor_220627_163944.pos,-183.569104547668,0.026334313300308,0.00836918518518517,2195.99453617284,0.0263813647356692,0.00994296296296293,-8.25527628148148,0.0725484183890613,-0.024819407407473
